"initial_alias","converted_alias","name","description","namespace"
"MESDC2","None","None","None",""
"TOX4","ENSG00000092203","TOX4","TOX high mobility group box family member 4 [Source:HGNC Symbol;Acc:HGNC:20161]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASC11","ENSG00000249375","CASC11","cancer susceptibility 11 [Source:HGNC Symbol;Acc:HGNC:48939]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"SYT4","ENSG00000132872","SYT4","synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIGS","ENSG00000087111","PIGS","phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00431","ENSG00000225760","LINC00431","long intergenic non-protein coding RNA 431 [Source:HGNC Symbol;Acc:HGNC:42766]","GENECARDS,HGNC"
"MAK16","ENSG00000198042","MAK16","MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ONECUT2","ENSG00000119547","ONECUT2","one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GREB1L","ENSG00000141449","GREB1L","GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXORF66","ENSG00000203933","CXorf66","chromosome X open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:33743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THEMIS","ENSG00000172673","THEMIS","thymocyte selection associated [Source:HGNC Symbol;Acc:HGNC:21569]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD3D","ENSG00000167286","CD3D","CD3 delta subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1673]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HOXD9","ENSG00000128709","HOXD9","homeobox D9 [Source:HGNC Symbol;Acc:HGNC:5140]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2Q1","ENSG00000160714","UBE2Q1","ubiquitin conjugating enzyme E2 Q1 [Source:HGNC Symbol;Acc:HGNC:15698]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C7ORF71","None","None","None",""
"RSBN1","ENSG00000081019","RSBN1","round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF593","ENSG00000142684","ZNF593","zinc finger protein 593 [Source:HGNC Symbol;Acc:HGNC:30943]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGFB3","ENSG00000119699","TGFB3","transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD12","ENSG00000100997","ABHD12","abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRGAP2D","ENSG00000270872","SRGAP2D","SLIT-ROBO Rho GTPase activating protein 2D (pseudogene) [Source:HGNC Symbol;Acc:HGNC:43932]","GENECARDS,HGNC"
"TRIM37","ENSG00000108395","TRIM37","tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCN9A","ENSG00000169432","SCN9A","sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFNB1","ENSG00000090776","EFNB1","ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRD7","ENSG00000166164","BRD7","bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF99","ENSG00000213973","ZNF99","zinc finger protein 99 [Source:HGNC Symbol;Acc:HGNC:13175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01559","ENSG00000180861","LINC01559","long intergenic non-protein coding RNA 1559 [Source:HGNC Symbol;Acc:HGNC:26598]","GENECARDS,HGNC"
"HSD3B7","ENSG00000099377","HSD3B7","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KREMEN1","ENSG00000183762","KREMEN1","kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:17550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP295NL","ENSG00000178404","CEP295NL","CEP295 N-terminal like [Source:HGNC Symbol;Acc:HGNC:44659]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOP58","ENSG00000055044","NOP58","NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLCN7","ENSG00000103249","CLCN7","chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHGB","ENSG00000089199","CHGB","chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGAP9","ENSG00000204172","AGAP9","ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 [Source:HGNC Symbol;Acc:HGNC:23463]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CLEC2B","ENSG00000110852","CLEC2B","C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBA5","ENSG00000081307","UBA5","ubiquitin like modifier activating enzyme 5 [Source:HGNC Symbol;Acc:HGNC:23230]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEACAM20","ENSG00000273777","CEACAM20","CEA cell adhesion molecule 20 [Source:HGNC Symbol;Acc:HGNC:24879]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NBPF6","ENSG00000186086","NBPF6","NBPF member 6 [Source:HGNC Symbol;Acc:HGNC:31988]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZKSCAN3","ENSG00000189298","ZKSCAN3","zinc finger with KRAB and SCAN domains 3 [Source:HGNC Symbol;Acc:HGNC:13853]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FABP12","ENSG00000197416","FABP12","fatty acid binding protein 12 [Source:HGNC Symbol;Acc:HGNC:34524]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC183-AS1","ENSG00000228544","CCDC183-AS1","CCDC183 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44105]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"LINC01070","ENSG00000260102","LINC01070","long intergenic non-protein coding RNA 1070 [Source:HGNC Symbol;Acc:HGNC:49110]","GENECARDS,HGNC"
"DDO","ENSG00000203797","DDO","D-aspartate oxidase [Source:HGNC Symbol;Acc:HGNC:2727]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAT9","ENSG00000109065","NAT9","N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPAN14","ENSG00000108219","TSPAN14","tetraspanin 14 [Source:HGNC Symbol;Acc:HGNC:23303]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5K2","ENSG00000231861","OR5K2","olfactory receptor family 5 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14774]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRP72","ENSG00000174780","SRP72","signal recognition particle 72 [Source:HGNC Symbol;Acc:HGNC:11303]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GTF2A1","ENSG00000165417","GTF2A1","general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC8A2","ENSG00000118160","SLC8A2","solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OLFM1","ENSG00000130558","OLFM1","olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTC13","ENSG00000143643","TTC13","tetratricopeptide repeat domain 13 [Source:HGNC Symbol;Acc:HGNC:26204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HDHD2","ENSG00000167220","HDHD2","haloacid dehalogenase like hydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25364]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HCST","ENSG00000126264","HCST","hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRRN2","ENSG00000170382","LRRN2","leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS36","ENSG00000136100","VPS36","vacuolar protein sorting 36 homolog [Source:HGNC Symbol;Acc:HGNC:20312]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOAT1","ENSG00000057252","SOAT1","sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATL1","ENSG00000198513","ATL1","atlastin GTPase 1 [Source:HGNC Symbol;Acc:HGNC:11231]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GJD2","ENSG00000159248","GJD2","gap junction protein delta 2 [Source:HGNC Symbol;Acc:HGNC:19154]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNCB","ENSG00000074317","SNCB","synuclein beta [Source:HGNC Symbol;Acc:HGNC:11140]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C14ORF2","ENSG00000156411","ATP5MJ","ATP synthase membrane subunit j [Source:HGNC Symbol;Acc:HGNC:1188]","UNIPROT_GN"
"TNFAIP8L3","ENSG00000183578","TNFAIP8L3","TNF alpha induced protein 8 like 3 [Source:HGNC Symbol;Acc:HGNC:20620]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCF21","ENSG00000118526","TCF21","transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSTN","ENSG00000138379","MSTN","myostatin [Source:HGNC Symbol;Acc:HGNC:4223]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GIPC1","ENSG00000123159","GIPC1","GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-A","ENSG00000206503","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCTP2","ENSG00000140563","MCTP2","multiple C2 and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25636]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NENF","ENSG00000117691","NENF","neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEAD4","ENSG00000197905","TEAD4","TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRP9","ENSG00000143742","SRP9","signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VILL","ENSG00000136059","VILL","villin like [Source:HGNC Symbol;Acc:HGNC:30906]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNORA54","ENSG00000207008","SNORA54","small nucleolar RNA, H/ACA box 54 [Source:HGNC Symbol;Acc:HGNC:32647]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"TRIM74","ENSG00000155428","TRIM74","tripartite motif containing 74 [Source:HGNC Symbol;Acc:HGNC:17453]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM74","ENSG00000178809","TRIM73","tripartite motif containing 73 [Source:HGNC Symbol;Acc:HGNC:18162]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SFT2D2","ENSG00000213064","SFT2D2","SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM120B","ENSG00000188735","TMEM120B","transmembrane protein 120B [Source:HGNC Symbol;Acc:HGNC:32008]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAG3L5P-PVRIG2P-PILRB","ENSG00000272752","STAG3L5P-PVRIG2P-PILRB","STAG3L5P-PVRIG2P-PILRB readthrough [Source:HGNC Symbol;Acc:HGNC:48898]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"NUTM2D","ENSG00000214562","NUTM2D","NUT family member 2D [Source:HGNC Symbol;Acc:HGNC:23447]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C2ORF27B","None","None","None",""
"CDCA8","ENSG00000134690","CDCA8","cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MLLT3","ENSG00000171843","MLLT3","MLLT3 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL1B","ENSG00000125538","IL1B","interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOC","ENSG00000109107","ALDOC","aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HINT1","ENSG00000169567","HINT1","histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCEB3","ENSG00000011007","ELOA","elongin A [Source:HGNC Symbol;Acc:HGNC:11620]","UNIPROT_GN"
"BOLA1","ENSG00000178096","BOLA1","bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GABRG1","ENSG00000163285","GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1 [Source:HGNC Symbol;Acc:HGNC:4086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHPN2","ENSG00000131941","RHPN2","rhophilin Rho GTPase binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19974]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCLRE1A","ENSG00000198924","DCLRE1A","DNA cross-link repair 1A [Source:HGNC Symbol;Acc:HGNC:17660]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR83OS","ENSG00000105583","WDR83OS","WD repeat domain 83 opposite strand [Source:HGNC Symbol;Acc:HGNC:30203]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01107","ENSG00000225493","LINC01107","long intergenic non-protein coding RNA 1107 [Source:HGNC Symbol;Acc:HGNC:49229]","GENECARDS,HGNC"
"SH3TC2","ENSG00000169247","SH3TC2","SH3 domain and tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:29427]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASC10","None","None","None",""
"SPACA5","ENSG00000171478","SPACA5B","sperm acrosome associated 5B [Source:HGNC Symbol;Acc:HGNC:19142]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPACA5","ENSG00000171489","SPACA5","sperm acrosome associated 5 [Source:HGNC Symbol;Acc:HGNC:31353]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CREB3","ENSG00000107175","CREB3","cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMARCA1","ENSG00000102038","SMARCA1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLCB2","ENSG00000137841","PLCB2","phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEURL1B","ENSG00000214357","NEURL1B","neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GCA","ENSG00000115271","GCA","grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEC22B","ENSG00000265808","SEC22B","SEC22 homolog B, vesicle trafficking protein [Source:HGNC Symbol;Acc:HGNC:10700]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNASEH2A","ENSG00000104889","RNASEH2A","ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ULK2","ENSG00000083290","ULK2","unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LEMD1-AS1","ENSG00000226235","LEMD1-AS1","LEMD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44132]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"IL10","ENSG00000136634","IL10","interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MADCAM1","ENSG00000099866","MADCAM1","mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPSTI1","ENSG00000133106","EPSTI1","epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C11ORF70","None","None","None",""
"SLC30A4","ENSG00000104154","SLC30A4","solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC150","ENSG00000144395","CCDC150","coiled-coil domain containing 150 [Source:HGNC Symbol;Acc:HGNC:26834]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPN14","ENSG00000152104","PTPN14","protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ST7","ENSG00000004866","ST7","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM52B","ENSG00000165685","TMEM52B","transmembrane protein 52B [Source:HGNC Symbol;Acc:HGNC:26438]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSG1L","ENSG00000169181","GSG1L","GSG1 like [Source:HGNC Symbol;Acc:HGNC:28283]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX19","ENSG00000120451","SNX19","sorting nexin 19 [Source:HGNC Symbol;Acc:HGNC:21532]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM135","ENSG00000166575","TMEM135","transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ETFA","ENSG00000140374","ETFA","electron transfer flavoprotein subunit alpha [Source:HGNC Symbol;Acc:HGNC:3481]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THOC5","ENSG00000100296","THOC5","THO complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:19074]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GKAP1","ENSG00000165113","GKAP1","G kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:17496]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00607","ENSG00000235770","LINC00607","long intergenic non-protein coding RNA 607 [Source:HGNC Symbol;Acc:HGNC:43944]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"TMEM127","ENSG00000135956","TMEM127","transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APH1A","ENSG00000117362","APH1A","aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NFIC","ENSG00000141905","NFIC","nuclear factor I C [Source:HGNC Symbol;Acc:HGNC:7786]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COLEC10","ENSG00000184374","COLEC10","collectin subfamily member 10 [Source:HGNC Symbol;Acc:HGNC:2220]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SORBS2","ENSG00000154556","SORBS2","sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYTIP","ENSG00000115165","CYTIP","cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1QTNF5","ENSG00000223953","C1QTNF5","C1q and TNF related 5 [Source:HGNC Symbol;Acc:HGNC:14344]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM21","ENSG00000132109","TRIM21","tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF304","ENSG00000131845","ZNF304","zinc finger protein 304 [Source:HGNC Symbol;Acc:HGNC:13505]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAMTS15","ENSG00000166106","ADAMTS15","ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00543","ENSG00000260704","LINC00543","long intergenic non-protein coding RNA 543 [Source:HGNC Symbol;Acc:HGNC:43678]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ZNF107","ENSG00000196247","ZNF107","zinc finger protein 107 [Source:HGNC Symbol;Acc:HGNC:12887]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PER1","ENSG00000179094","PER1","period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MED8","ENSG00000159479","MED8","mediator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:19971]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB8","ENSG00000197150","ABCB8","ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZDHHC24","ENSG00000174165","ZDHHC24","zinc finger DHHC-type containing 24 [Source:HGNC Symbol;Acc:HGNC:27387]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARID4A","ENSG00000032219","ARID4A","AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPB9","ENSG00000260325","HSPB9","heat shock protein family B (small) member 9 [Source:HGNC Symbol;Acc:HGNC:30589]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FHL5","ENSG00000112214","FHL5","four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXORF49","ENSG00000215113","CXorf49B","chromosome X open reading frame 49B [Source:HGNC Symbol;Acc:HGNC:34229]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXORF49","ENSG00000215115","CXorf49","chromosome X open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:30891]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TM9SF2","ENSG00000125304","TM9SF2","transmembrane 9 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11865]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYCN","ENSG00000134323","MYCN","MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCL1","ENSG00000143384","MCL1","MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP131","ENSG00000141577","CEP131","centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
